city,monthly_units,roof_sqft,wapda_tariff_pkr,sun_hours_per_day,panels_needed,system_kw,monthly_saving_pkr,payback_years
Lahore,500,800,45,5.2,8,2.4,12000,4.5
Lahore,300,600,38,5.2,5,1.5,7500,4.2
Lahore,800,1200,50,5.2,12,3.6,18000,4.8
Karachi,400,700,42,6.1,6,1.8,11000,3.8
Karachi,600,1000,47,6.1,9,2.7,15000,4.0
Karachi,1000,1500,52,6.1,14,4.2,22000,4.2
Islamabad,450,750,40,5.5,7,2.1,11500,4.3
Islamabad,700,1100,48,5.5,11,3.3,17000,4.6
Peshawar,350,650,36,5.8,6,1.8,9500,4.1
Peshawar,650,950,45,5.8,10,3.0,14500,4.4
Multan,550,850,44,6.3,8,2.4,13500,3.9
Multan,900,1300,51,6.3,13,3.9,20000,4.1
Quetta,400,700,38,6.5,6,1.8,11000,3.7
Quetta,750,1100,46,6.5,11,3.3,16500,4.0
Faisalabad,500,800,43,5.4,8,2.4,12500,4.4
Faisalabad,800,1200,49,5.4,12,3.6,18500,4.7
Rawalpindi,420,720,40,5.3,7,2.1,10500,4.3
Rawalpindi,680,980,46,5.3,10,3.0,15000,4.5
Hyderabad,380,660,39,6.0,6,1.8,10000,4.0
Hyderabad,720,1050,47,6.0,11,3.3,16000,4.2
Attock,310,580,35,5.6,5,1.5,8500,4.1
Attock,560,860,43,5.6,8,2.4,12000,4.4
